SAMPLE_NUM,HEX_VALUE,BINARY_17BIT
501,0x30783046,00011000001000110
502,0x46464646,00100011001000110
503,0x46420D0A,00000110100001010
504,0x30783046,00011000001000110
505,0x46464646,00100011001000110
506,0x46430D0A,10000110100001010
507,0x30783046,00011000001000110
508,0x46464646,00100011001000110
509,0x46440D0A,00000110100001010
510,0x30783046,00011000001000110
511,0x46464646,00100011001000110
512,0x46430D0A,10000110100001010
513,0x30783046,00011000001000110
514,0x46464646,00100011001000110
515,0x46440D0A,00000110100001010
516,0x30783046,00011000001000110
517,0x46464646,00100011001000110
518,0x46420D0A,00000110100001010
519,0x30783046,00011000001000110
520,0x46464646,00100011001000110
521,0x46450D0A,10000110100001010
522,0x30783046,00011000001000110
523,0x46464646,00100011001000110
524,0x46430D0A,10000110100001010
525,0x30783046,00011000001000110
526,0x46464646,00100011001000110
527,0x46430D0A,10000110100001010
528,0x30783046,00011000001000110
529,0x46464646,00100011001000110
530,0x46420D0A,00000110100001010
531,0x30783046,00011000001000110
532,0x46464646,00100011001000110
533,0x46430D0A,10000110100001010
534,0x30783030,00011000000110000
535,0x30303030,00011000000110000
536,0x30300D0A,00000110100001010
537,0x30783046,00011000001000110
538,0x46464646,00100011001000110
539,0x46450D0A,10000110100001010
540,0x30783046,00011000001000110
541,0x46464646,00100011001000110
542,0x46450D0A,10000110100001010
543,0x30783046,00011000001000110
544,0x46464646,00100011001000110
545,0x46440D0A,00000110100001010
546,0x30783046,00011000001000110
547,0x46464646,00100011001000110
548,0x46450D0A,10000110100001010
549,0x30783046,00011000001000110
550,0x46464646,00100011001000110
551,0x46450D0A,10000110100001010
552,0x30783046,00011000001000110
553,0x46464646,00100011001000110
554,0x46430D0A,10000110100001010
555,0x30783046,00011000001000110
556,0x46464646,00100011001000110
557,0x46430D0A,10000110100001010
558,0x30783046,00011000001000110
559,0x46464646,00100011001000110
560,0x46430D0A,10000110100001010
561,0x30783046,00011000001000110
562,0x46464646,00100011001000110
563,0x46440D0A,00000110100001010
564,0x30783046,00011000001000110
565,0x46464646,00100011001000110
566,0x46430D0A,10000110100001010
567,0x30783046,00011000001000110
568,0x46464646,00100011001000110
569,0x46440D0A,00000110100001010
570,0x30783046,00011000001000110
571,0x46464646,00100011001000110
572,0x46460D0A,00000110100001010
573,0x30783046,00011000001000110
574,0x46464646,00100011001000110
575,0x46420D0A,00000110100001010
576,0x30783046,00011000001000110
577,0x46464646,00100011001000110
578,0x46420D0A,00000110100001010
579,0x30783046,00011000001000110
580,0x46464646,00100011001000110
581,0x46440D0A,00000110100001010
582,0x30783046,00011000001000110
583,0x46464646,00100011001000110
584,0x46430D0A,10000110100001010
585,0x30783046,00011000001000110
586,0x46464646,00100011001000110
587,0x46460D0A,00000110100001010
588,0x30783046,00011000001000110
589,0x46464646,00100011001000110
590,0x46420D0A,00000110100001010
591,0x30783046,00011000001000110
592,0x46464646,00100011001000110
593,0x46430D0A,10000110100001010
594,0x30783046,00011000001000110
595,0x46464646,00100011001000110
596,0x46420D0A,00000110100001010
597,0x30783046,00011000001000110
598,0x46464646,00100011001000110
599,0x46430D0A,10000110100001010
600,0x30783046,00011000001000110
601,0x46464646,00100011001000110
602,0x46410D0A,10000110100001010
603,0x30783046,00011000001000110
604,0x46464646,00100011001000110
605,0x46430D0A,10000110100001010
606,0x30783046,00011000001000110
607,0x46464646,00100011001000110
608,0x46460D0A,00000110100001010
609,0x30783046,00011000001000110
610,0x46464646,00100011001000110
611,0x46440D0A,00000110100001010
612,0x30783046,00011000001000110
613,0x46464646,00100011001000110
614,0x46430D0A,10000110100001010
615,0x30783046,00011000001000110
616,0x46464646,00100011001000110
617,0x46430D0A,10000110100001010
618,0x30783046,00011000001000110
619,0x46464646,00100011001000110
620,0x46460D0A,00000110100001010
621,0x30783046,00011000001000110
622,0x46464646,00100011001000110
623,0x46430D0A,10000110100001010
624,0x30783046,00011000001000110
625,0x46464646,00100011001000110
626,0x46440D0A,00000110100001010
627,0x30783046,00011000001000110
628,0x46464646,00100011001000110
629,0x46420D0A,00000110100001010
630,0x30783046,00011000001000110
631,0x46464646,00100011001000110
632,0x46460D0A,00000110100001010
633,0x30783046,00011000001000110
634,0x46464646,00100011001000110
635,0x46440D0A,00000110100001010
636,0x30783046,00011000001000110
637,0x46464646,00100011001000110
638,0x46460D0A,00000110100001010
639,0x30783046,00011000001000110
640,0x46464646,00100011001000110
641,0x46430D0A,10000110100001010
642,0x30783046,00011000001000110
643,0x46464646,00100011001000110
644,0x46430D0A,10000110100001010
645,0x30783046,00011000001000110
646,0x46464646,00100011001000110
647,0x46420D0A,00000110100001010
648,0x30783046,00011000001000110
649,0x46464646,00100011001000110
650,0x46420D0A,00000110100001010
651,0x30783046,00011000001000110
652,0x46464646,00100011001000110
653,0x46450D0A,10000110100001010
654,0x30783046,00011000001000110
655,0x46464646,00100011001000110
656,0x46430D0A,10000110100001010
657,0x30783046,00011000001000110
658,0x46464646,00100011001000110
659,0x46420D0A,00000110100001010
660,0x30783046,00011000001000110
661,0x46464646,00100011001000110
662,0x46460D0A,00000110100001010
663,0x30783046,00011000001000110
664,0x46464646,00100011001000110
665,0x46430D0A,10000110100001010
666,0x30783046,00011000001000110
667,0x46464646,00100011001000110
668,0x46440D0A,00000110100001010
669,0x30783046,00011000001000110
670,0x46464646,00100011001000110
671,0x46460D0A,00000110100001010
672,0x30783046,00011000001000110
673,0x46464646,00100011001000110
674,0x46440D0A,00000110100001010
675,0x30783046,00011000001000110
676,0x46464646,00100011001000110
677,0x46420D0A,00000110100001010
678,0x30783046,00011000001000110
679,0x46464646,00100011001000110
680,0x46430D0A,10000110100001010
681,0x30783046,00011000001000110
682,0x46464646,00100011001000110
683,0x46440D0A,00000110100001010
684,0x30783046,00011000001000110
685,0x46464646,00100011001000110
686,0x46440D0A,00000110100001010
687,0x30783046,00011000001000110
688,0x46464646,00100011001000110
689,0x46430D0A,10000110100001010
690,0x30783046,00011000001000110
691,0x46464646,00100011001000110
692,0x46440D0A,00000110100001010
693,0x30783046,00011000001000110
694,0x46464646,00100011001000110
695,0x46430D0A,10000110100001010
696,0x30783046,00011000001000110
697,0x46464646,00100011001000110
698,0x46440D0A,00000110100001010
699,0x30783046,00011000001000110
700,0x46464646,00100011001000110
701,0x46430D0A,10000110100001010
702,0x30783046,00011000001000110
703,0x46464646,00100011001000110
704,0x46420D0A,00000110100001010
705,0x30783046,00011000001000110
706,0x46464646,00100011001000110
707,0x46430D0A,10000110100001010
708,0x30783046,00011000001000110
709,0x46464646,00100011001000110
710,0x46440D0A,00000110100001010
711,0x30783046,00011000001000110
712,0x46464646,00100011001000110
713,0x46450D0A,10000110100001010
714,0x30783046,00011000001000110
715,0x46464646,00100011001000110
716,0x46450D0A,10000110100001010
717,0x30783046,00011000001000110
718,0x46464646,00100011001000110
719,0x46450D0A,10000110100001010
720,0x30783046,00011000001000110
721,0x46464646,00100011001000110
722,0x46440D0A,00000110100001010
723,0x30783046,00011000001000110
724,0x46464646,00100011001000110
725,0x46430D0A,10000110100001010
726,0x30783046,00011000001000110
727,0x46464646,00100011001000110
728,0x46440D0A,00000110100001010
729,0x30783046,00011000001000110
730,0x46464646,00100011001000110
731,0x46430D0A,10000110100001010
732,0x30783046,00011000001000110
733,0x46464646,00100011001000110
734,0x46450D0A,10000110100001010
735,0x30783046,00011000001000110
736,0x46464646,00100011001000110
737,0x46440D0A,00000110100001010
738,0x30783046,00011000001000110
739,0x46464646,00100011001000110
740,0x46460D0A,00000110100001010
741,0x30783046,00011000001000110
742,0x46464646,00100011001000110
743,0x46440D0A,00000110100001010
744,0x30783046,00011000001000110
745,0x46464646,00100011001000110
746,0x46410D0A,10000110100001010
747,0x30783046,00011000001000110
748,0x46464646,00100011001000110
749,0x46460D0A,00000110100001010
750,0x30783046,00011000001000110
751,0x46464646,00100011001000110
752,0x46430D0A,10000110100001010
753,0x30783046,00011000001000110
754,0x46464646,00100011001000110
755,0x46460D0A,00000110100001010
756,0x30783046,00011000001000110
757,0x46464646,00100011001000110
758,0x46430D0A,10000110100001010
759,0x30783046,00011000001000110
760,0x46464646,00100011001000110
761,0x46430D0A,10000110100001010
762,0x30783046,00011000001000110
763,0x46464646,00100011001000110
764,0x46460D0A,00000110100001010
765,0x30783046,00011000001000110
766,0x46464646,00100011001000110
767,0x46450D0A,10000110100001010
768,0x30783046,00011000001000110
769,0x46464646,00100011001000110
770,0x46420D0A,00000110100001010
771,0x30783046,00011000001000110
772,0x46464646,00100011001000110
773,0x46430D0A,10000110100001010
774,0x30783046,00011000001000110
775,0x46464646,00100011001000110
776,0x46420D0A,00000110100001010
777,0x30783046,00011000001000110
778,0x46464646,00100011001000110
779,0x46440D0A,00000110100001010
780,0x30783046,00011000001000110
781,0x46464646,00100011001000110
782,0x46440D0A,00000110100001010
783,0x30783046,00011000001000110
784,0x46464646,00100011001000110
785,0x46420D0A,00000110100001010
786,0x30783046,00011000001000110
787,0x46464646,00100011001000110
788,0x46430D0A,10000110100001010
789,0x30783046,00011000001000110
790,0x46464646,00100011001000110
791,0x46430D0A,10000110100001010
792,0x30783046,00011000001000110
793,0x46464646,00100011001000110
794,0x46430D0A,10000110100001010
795,0x30783046,00011000001000110
796,0x46464646,00100011001000110
797,0x46430D0A,10000110100001010
798,0x30783046,00011000001000110
799,0x46464646,00100011001000110
800,0x46440D0A,00000110100001010
801,0x30783046,00011000001000110
802,0x46464646,00100011001000110
803,0x46430D0A,10000110100001010
804,0x30783046,00011000001000110
805,0x46464646,00100011001000110
806,0x46440D0A,00000110100001010
807,0x30783046,00011000001000110
808,0x46464646,00100011001000110
809,0x46430D0A,10000110100001010
810,0x30783046,00011000001000110
811,0x46464646,00100011001000110
812,0x46440D0A,00000110100001010
813,0x30783046,00011000001000110
814,0x46464646,00100011001000110
815,0x46430D0A,10000110100001010
816,0x30783046,00011000001000110
817,0x46464646,00100011001000110
818,0x46430D0A,10000110100001010
819,0x30783046,00011000001000110
820,0x46464646,00100011001000110
821,0x46430D0A,10000110100001010
822,0x30783046,00011000001000110
823,0x46464646,00100011001000110
824,0x46450D0A,10000110100001010
825,0x30783046,00011000001000110
826,0x46464646,00100011001000110
827,0x46440D0A,00000110100001010
828,0x30783046,00011000001000110
829,0x46464646,00100011001000110
830,0x46460D0A,00000110100001010
831,0x30783046,00011000001000110
832,0x46464646,00100011001000110
833,0x46430D0A,10000110100001010
834,0x30783046,00011000001000110
835,0x46464646,00100011001000110
836,0x46450D0A,10000110100001010
837,0x30783046,00011000001000110
838,0x46464646,00100011001000110
839,0x46440D0A,00000110100001010
840,0x30783046,00011000001000110
841,0x46464646,00100011001000110
842,0x46460D0A,00000110100001010
843,0x30783046,00011000001000110
844,0x46464646,00100011001000110
845,0x46430D0A,10000110100001010
846,0x30783046,00011000001000110
847,0x46464646,00100011001000110
848,0x46410D0A,10000110100001010
849,0x30783046,00011000001000110
850,0x46464646,00100011001000110
851,0x46430D0A,10000110100001010
852,0x30783046,00011000001000110
853,0x46464646,00100011001000110
854,0x46450D0A,10000110100001010
855,0x30783030,00011000000110000
856,0x30303030,00011000000110000
857,0x30310D0A,10000110100001010
858,0x30783046,00011000001000110
859,0x46464646,00100011001000110
860,0x46440D0A,00000110100001010
861,0x30783046,00011000001000110
862,0x46464646,00100011001000110
863,0x46450D0A,10000110100001010
864,0x30783046,00011000001000110
865,0x46464646,00100011001000110
866,0x46430D0A,10000110100001010
867,0x30783046,00011000001000110
868,0x46464646,00100011001000110
869,0x46440D0A,00000110100001010
870,0x30783046,00011000001000110
871,0x46464646,00100011001000110
872,0x46450D0A,10000110100001010
873,0x30783046,00011000001000110
874,0x46464646,00100011001000110
875,0x46430D0A,10000110100001010
876,0x30783046,00011000001000110
877,0x46464646,00100011001000110
878,0x46430D0A,10000110100001010
879,0x30783046,00011000001000110
880,0x46464646,00100011001000110
881,0x46440D0A,00000110100001010
882,0x30783046,00011000001000110
883,0x46464646,00100011001000110
884,0x46430D0A,10000110100001010
885,0x30783046,00011000001000110
886,0x46464646,00100011001000110
887,0x46420D0A,00000110100001010
888,0x30783046,00011000001000110
889,0x46464646,00100011001000110
890,0x46420D0A,00000110100001010
891,0x30783046,00011000001000110
892,0x46464646,00100011001000110
893,0x46430D0A,10000110100001010
894,0x30783046,00011000001000110
895,0x46464646,00100011001000110
896,0x46430D0A,10000110100001010
897,0x30783046,00011000001000110
898,0x46464646,00100011001000110
899,0x46430D0A,10000110100001010
900,0x30783046,00011000001000110
901,0x46464646,00100011001000110
902,0x46430D0A,10000110100001010
903,0x30783046,00011000001000110
904,0x46464646,00100011001000110
905,0x46460D0A,00000110100001010
906,0x30783046,00011000001000110
907,0x46464646,00100011001000110
908,0x46440D0A,00000110100001010
909,0x30783046,00011000001000110
910,0x46464646,00100011001000110
911,0x46460D0A,00000110100001010
912,0x30783046,00011000001000110
913,0x46464646,00100011001000110
914,0x46430D0A,10000110100001010
915,0x30783046,00011000001000110
916,0x46464646,00100011001000110
917,0x46460D0A,00000110100001010
918,0x30783046,00011000001000110
919,0x46464646,00100011001000110
920,0x46450D0A,10000110100001010
921,0x30783046,00011000001000110
922,0x46464646,00100011001000110
923,0x46440D0A,00000110100001010
924,0x30783046,00011000001000110
925,0x46464646,00100011001000110
926,0x46460D0A,00000110100001010
927,0x30783046,00011000001000110
928,0x46464646,00100011001000110
929,0x46430D0A,10000110100001010
930,0x30783046,00011000001000110
931,0x46464646,00100011001000110
932,0x46440D0A,00000110100001010
933,0x30783046,00011000001000110
934,0x46464646,00100011001000110
935,0x46420D0A,00000110100001010
936,0x30783046,00011000001000110
937,0x46464646,00100011001000110
938,0x46450D0A,10000110100001010
939,0x30783046,00011000001000110
940,0x46464646,00100011001000110
941,0x46460D0A,00000110100001010
942,0x30783046,00011000001000110
943,0x46464646,00100011001000110
944,0x46430D0A,10000110100001010
945,0x30783046,00011000001000110
946,0x46464646,00100011001000110
947,0x46440D0A,00000110100001010
948,0x30783046,00011000001000110
949,0x46464646,00100011001000110
950,0x46420D0A,00000110100001010
951,0x30783046,00011000001000110
952,0x46464646,00100011001000110
953,0x46460D0A,00000110100001010
954,0x30783046,00011000001000110
955,0x46464646,00100011001000110
956,0x46450D0A,10000110100001010
957,0x30783046,00011000001000110
958,0x46464646,00100011001000110
959,0x46410D0A,10000110100001010
960,0x30783046,00011000001000110
961,0x46464646,00100011001000110
962,0x46450D0A,10000110100001010
963,0x30783046,00011000001000110
964,0x46464646,00100011001000110
965,0x46430D0A,10000110100001010
966,0x30783046,00011000001000110
967,0x46464646,00100011001000110
968,0x46460D0A,00000110100001010
969,0x30783046,00011000001000110
970,0x46464646,00100011001000110
971,0x46430D0A,10000110100001010
972,0x30783046,00011000001000110
973,0x46464646,00100011001000110
974,0x46430D0A,10000110100001010
975,0x30783046,00011000001000110
976,0x46464646,00100011001000110
977,0x46430D0A,10000110100001010
978,0x30783046,00011000001000110
979,0x46464646,00100011001000110
980,0x46430D0A,10000110100001010
981,0x30783046,00011000001000110
982,0x46464646,00100011001000110
983,0x46440D0A,00000110100001010
984,0x30783046,00011000001000110
985,0x46464646,00100011001000110
986,0x46430D0A,10000110100001010
987,0x30783046,00011000001000110
988,0x46464646,00100011001000110
989,0x46440D0A,00000110100001010
990,0x30783046,00011000001000110
991,0x46464646,00100011001000110
992,0x46450D0A,10000110100001010
993,0x30783046,00011000001000110
994,0x46464646,00100011001000110
995,0x46440D0A,00000110100001010
996,0x30783046,00011000001000110
997,0x46464646,00100011001000110
998,0x46430D0A,10000110100001010
999,0x30783046,00011000001000110
